city,poi_name,poi_category,sentence_text,review_id
Fukui,Fukui Dinosaur Museum,museum_cultural,"We took a dedicated bus from Fukui Station to get there, and came back with the train after visiting the not-so-far, amazing Echizen Daibutsu.",7c3eb0263772
Fukui,Fukui Dinosaur Museum,museum_cultural,The layout is made in a way that guides visitors seamlessly through each exhibit while providing ample space so it doesn’t seem crowded.,182a912325ca
Fukui,Fukui Dinosaur Museum,museum_cultural,There's also a free show every few hours and a baby room for young children to wind down and chill.,e7ce62ef4d50
Fukui,Fukui Castle,castle_historic,Opening hours are daily from 7am - 5pm.,c93e06f9e6c6
Fukui,Maruoka Castle,castle_historic,Total 1320 Yen and 3 hours for nothing.,ae042a8c5a90
Fukui,Maruoka Castle,castle_historic,"It’s not too crowded, so you can really enjoy the atmosphere.",1c92c59d7018
Fukui,Echizen Daibutsu,temple_shrine,"This place is bit of the tourist map, so it was less crowded, with mostly local worshipper at the temple.",2240480c63a6
Fukui,Fukui Prefectural Museum,museum_cultural,Spent about 1-1.5 hours here but you can definitely do more.,a291e6383744
Fukui,Heisenji Hakusan Shrine,temple_shrine,"Honestly, it feels far more meaningful than many of the more modern temples in the valley.",63ba6ac602e6
Fukui,Heisenji Hakusan Shrine,temple_shrine,The vehicle that runs here are on 4 hours interval so do make sure you wont miss it.,9978392789db
Fukui,Heisenji Hakusan Shrine,temple_shrine,"This doesn’t seem to be an active temple, the structures are all gracefully aged, and as far as I went you are not able to go inside any of the buildings.",9978392789db
Fukui,Echizen Ono Castle,castle_historic,"Even when the museum is closed, it is worth walking up to the castle.",e4e7dc73e2d9
Fukui,Tsuruga Red Brick Warehouse,castle_historic,It made me want to ride/see the old train lines.,3a2b15fd0648
Fukui,Oshima Island Fukui,nature_scenic,"Free parking, not so crowded, beautiful sunset",60236d78ac49
Fukui,Asuwa River Promenade,nature_scenic,Yes you need to go during cherry blossom season it’s the only reason to come here for a great experience I’ll tell you that been there three times so far worth it every time,dfd70b653f22
Fukui,Asuwa River Promenade,nature_scenic,"The area wasn’t crowded, so it was easy to take photos without people in the background.",2f025d90c258
Fukui,Takefu Knife Village,market_shopping,"Book ahead, wear clothes you don’t mind getting dirty and go.",db78e2accfc2
Fukui,Takefu Knife Village,market_shopping,"But if you don’t have any money like me, you can still enjoy the exhibitions and admire the hard work of the craftspeople.",7c84d5d81753
Kanazawa,Kenrokuen Garden,nature_scenic,Nice park that is well maintained and did not feel too busy.,c5337a61bbf0
Kanazawa,Kenrokuen Garden,nature_scenic,Would be better to use less gravel on the floor to help with wheelchair access,c5337a61bbf0
Kanazawa,Kenrokuen Garden,nature_scenic,"The view was amazing, they have toilet and tap water inside",fb8eff5581c4
Kanazawa,Kenrokuen Garden,nature_scenic,Beautiful garden that gets quite busy around 9:30am so I reccomend going early.,bde356c1904c
Kanazawa,Kenrokuen Garden,nature_scenic,"Went in the rain and it was amazing, highly recommend spending a few hours here and taking it all in.",ba976ff18f73
Kanazawa,Kenrokuen Garden,nature_scenic,I could have stayed there for hours.,7c2704d09e9d
Kanazawa,Kenrokuen Garden,nature_scenic,"Average garden, there are much more beautiful, less crowded gardens in Japan, especially smaller than this one",2d82dc3912f8
Kanazawa,Kenrokuen Garden,nature_scenic,It’s easy to spend hours here just walking slowly and taking everything in.,b2dced88e7db
Kanazawa,Kenrokuen Garden,nature_scenic,"Crowd was a bit heavy but the further in you venture, the more they dispersed.",71ee048442c0
Kanazawa,Higashi Chaya District,castle_historic,No queue.,b4e628e23fe1
Kanazawa,Higashi Chaya District,castle_historic,"Not too crowded as it was a pretty, nicely spread out district.",b4e628e23fe1
Kanazawa,Higashi Chaya District,castle_historic,It’s especially lovely in the morning or late afternoon when it’s less crowded and the light is perfect for photos.,55c1467fd5e5
Kanazawa,Higashi Chaya District,castle_historic,"The aromas coming from the food stalls and restaurants filled the entire street, making it hard to resist stopping every few minutes to try something new.",3e48d1d25968
Kanazawa,Higashi Chaya District,castle_historic,"With bright lights, and cheerful crowds, it feels like a place where you can easily spend several hours without realizing how time passes.",3e48d1d25968
Kanazawa,Higashi Chaya District,castle_historic,"Overall, it’s a fantastic destination if you want to enjoy a vibrant evening filled with good food, great shopping, and a lively crowd.",3e48d1d25968
Kanazawa,Kanazawa Castle Park,castle_historic,It’s not crowded and the grounds are very clean.,6c6819b441f3
Kanazawa,Kanazawa Castle Park,castle_historic,A good 1-2 hours to get around the site.,abcabfc0a39b
Kanazawa,Kanazawa Castle Park,castle_historic,Not too busy either.,abcabfc0a39b
Kanazawa,21st Century Museum of Contemporary Art,museum_cultural,"Staff stated it only covers the museum's ""gray zones,"" which were also closed for Reno, forcing me to pay an extra 1,000 Yen for a standard ticket.",25569660e4d2
Kanazawa,21st Century Museum of Contemporary Art,museum_cultural,Only informed at ticketing counter it’s closed till 23 May.,890d51b9cc49
Kanazawa,21st Century Museum of Contemporary Art,museum_cultural,Suggest booking tickets for special exhibit (gives entry to all areas) in advance to skip the queue.,1f03c311af29
Kanazawa,21st Century Museum of Contemporary Art,museum_cultural,Science person like me I think too far to understand on some artwork.,8498191d52a5
Kanazawa,21st Century Museum of Contemporary Art,museum_cultural,"The space, which is modern and beautiful, wasn’t overly crowded when we went.",f162b91dda99
Kanazawa,21st Century Museum of Contemporary Art,museum_cultural,"For the pool installation, you’ll have to sign up agita’s of time and wait for awhile.",ca25e813fcf8
Kanazawa,Nagamachi Samurai District,castle_historic,They have restroom for visitor.,b56d76329b0b
Kanazawa,Nagamachi Samurai District,castle_historic,"Not too busy neighbourhood, good for a nice stroll on a sunny day",814ed1ff77e6
Kanazawa,Nagamachi Samurai District,castle_historic,Busy but not too bad compared to popular areas like Kyoto/Tokyo ECT...,98db1250932c
Kanazawa,Nagamachi Samurai District,castle_historic,"•	Peaceful atmosphere – Much less crowded than major tourist hubs like Kyoto, making it ideal for slow exploration and photography.",1133853902e4
Kanazawa,Nagamachi Samurai District,castle_historic,"⸻

👍
•	Very walkable and compact
•	Great for history enthusiasts
•	Beautiful in all seasons (especially autumn and winter snow)
•	Close to other attractions like Kenrokuen Garden and Kanazawa Castle

👎
•	Small area — you can see most of it in about 30–60 minutes
•	Limited number of houses open to the public
•	may find it less lively compared to larger historic districts

⸻

🎟
•	Visit early morning for the best lighting and fewer people.",1133853902e4
Kanazawa,Myoryuji Ninja Temple,temple_shrine,"You get a guided tour round the temple, seeing all the little hidey holes, trap doors, false stairs etc, which is why it is known as ninja temple.",12193ce3f0c1
Kanazawa,Myoryuji Ninja Temple,temple_shrine,You need to be back 10 minutes before your reserved tour time and can wait on the benches outside.,852babf70a39
Kanazawa,Myoryuji Ninja Temple,temple_shrine,Once inside you will be asked to wait in the main hall and given a binder of the tour in whichever language you prefer.,852babf70a39
Kanazawa,Myoryuji Ninja Temple,temple_shrine,Note the page numbers and wait for a tour guide to retrieve you in smaller groups of about 10-12 people and then they'll take you to see all the trapdoors and secret crawlspaces.,852babf70a39
Kanazawa,Myoryuji Ninja Temple,temple_shrine,"The only negative feedback I would have is that when we arrived it felt as if we were too late for the tour and that they were closing up so felt rushed, however when our tour finished we saw so many other people waiting to be shown round so im unsure with the hesitation we received.",582b10561aea
Kanazawa,Myoryuji Ninja Temple,temple_shrine,"We just turned up and waited, tours every 30 minutes so not long and you are given information to read while waiting as tours are in Japanese.",ff48a255a915
Kanazawa,Myoryuji Ninja Temple,temple_shrine,"You cannot take any pictures, but then again, you’re gonna be busy taking in all the cool-ness.",d4fd36a694de
Kanazawa,Myoryuji Ninja Temple,temple_shrine,"It helped to have a printed guide in other languages but hard to read, walk and see the nuances quickly enough.",719a8743b62f
Kanazawa,Myoryuji Ninja Temple,temple_shrine,"I would suggest if you do not have a japanese phone line, just head over and plan to arrive a few minutes before the hour.",0af9a46f7ad9
Kanazawa,Myoryuji Ninja Temple,temple_shrine,"We used the intercom at the entrance and were able to secure a spot with about a 20-minute wait, which worked out well.",c3669d40beca
Kanazawa,Omicho Market,market_shopping,"Stalls start cleaning up and closing around 3:30/4 but some of the eateries are open later, into dinnertime.",e1d520ad91fc
Kanazawa,Omicho Market,market_shopping,Worth coming - lesser crowd and much fresher seafood compared to the Tsukiji Market @ Tokyo.,366374dd8b4e
Kanazawa,Omicho Market,market_shopping,Not expensive.,11ef4413e780
Kanazawa,Omicho Market,market_shopping,"Some are restaurant where you can eat large bowls of different fish but it’s funnier to stop at multiple stale and choose what you want to eat, don’t be afraid of the waiting line it’s going super fast lol.",26f4b1449873
Kanazawa,Omicho Market,market_shopping,Since it’s a small closed area the smell can be disturbing at first but you get used to it.,26f4b1449873
Kanazawa,Omicho Market,market_shopping,We had wagyu beef skewers then croquettes from a popular place with big queue but moved quickly,2049ffbdb8de
Kanazawa,Omicho Market,market_shopping,"While busy at peak times and sometimes a little touristy, most travellers find it a worthwhile and memorable stop for sampling regional flavours and exploring a lively local food hub.",d38a0aa56c19
