friction_code,city,poi_name,poi_category,sentence_text,review_id
transport_access,Fukui,Eiheiji Temple,temple_shrine,The place is very serene although timing in terms of transportation needs to be considered because of its limited schedule.,67fd6a4fa507
transport_access,Fukui,Tojinbo Cliffs,nature_scenic,Nice view and vibe but kindly far from town.,e5f65fa07913
transport_access,Fukui,Katsuyama Castle,castle_historic,"This museum was a delight to go to, but as a tourist using transit and mostly walking it is definitely difficult to get to.",1bb400769b27
wayfinding_signage,Fukui,Asuwa River Promenade,nature_scenic,"However, the entrance to the parking lot was a bit hard to find.",2f025d90c258
wayfinding_signage,Kanazawa,Myoryuji Ninja Temple,temple_shrine,"Half of the people in my particular tour group were unusually tall, so it was difficult to find places to stand or to see what I was supposed to see.",2e7c5e300013
english_information_gap,Fukui,Kitamaebune Sakai Port,museum_cultural,There is no English signage but it's a beautiful building with wonderful exhibits.,0dd6c3a8f279
english_information_gap,Kanazawa,Myoryuji Ninja Temple,temple_shrine,"The tour is in Japanese only, but they provide a binder in English with a full translation of what the guide says.",a0d7eb162239
english_information_gap,Kanazawa,Myoryuji Ninja Temple,temple_shrine,There is no English guide but they offer a book containing the whole text in many languages.,6dfac17e4341
staff_communication,Fukui,Takefu Knife Village,market_shopping,"The experience was made worse by unfriendly staff, especially a short-haired lady who spoke limited English and came across as impatient and dismissive.",227a012a49a1
booking_ticketing,Kanazawa,21st Century Museum of Contemporary Art,museum_cultural,"The experience where you can enter the pool was already fully booked, but the nighttime illumination was beautiful.",c19d439a9d5c
waiting_crowding,Kanazawa,Higashi Chaya District,castle_historic,Packed with dessert stores and souvenior shops.,65254e6db855
waiting_crowding,Kanazawa,Higashi Chaya District,castle_historic,"The only reason I’m giving 4 stars instead of 5 is that it can get quite crowded, and many shops feel a bit tourist-focused.",144f24343f7c
waiting_crowding,Kanazawa,Kanazawa Castle Park,castle_historic,"Some parts can become crowded, but it’s not too hard to find a quiet place for yourself, to relax and enjoy the surroundings.",af9e1a1aa4d5
price_value,Fukui,Tojinbo Cliffs,nature_scenic,I recommend stoping here just for a quick visit and avoid the tourist trap stalls.,71f50381489a
price_value,Fukui,Fukui Castle,castle_historic,"They’ve built 2 ugly buildings with antennas in the middle of what used to be the castle, not worth going.",66a80884e3e7
price_value,Fukui,Maruoka Castle,castle_historic,It's not worth going since you can't see anything.,7e2e04f383a5
cleanliness_comfort,Fukui,Yokokan Garden,nature_scenic,"The route takes literally few minutes to walk around, and there are no benches you can sit on and enjoy the view.",e9bc0ffd65b5
cleanliness_comfort,Fukui,Heisenji Hakusan Shrine,temple_shrine,"A stunning, quiet forest trail leading to shrines that have seen better days; their dilapidated states adds to the allure of the area.",e494cf0ccc3b
opening_hours_availability,Fukui,Tojinbo Cliffs,nature_scenic,"The shops were closed when we reached around 3.30pm, so maybe they closed early during winter times.",b5fdf484a599
opening_hours_availability,Fukui,Katsuyama Castle,castle_historic,"I really don't understand why so many people give it 1-star reviews—it's unfair that its rating is even lower than Nagoya Castle, which has structural issues and is under renovation.",202a7300a903
opening_hours_availability,Fukui,Maruoka Castle,castle_historic,Closed until end of July for maintenance work,af8ebf9cff5f
itinerary_fit_time_cost,Fukui,Fukui Castle,castle_historic,"The place was good, but not much things so explore.",05bb0bc0eefc
itinerary_fit_time_cost,Fukui,Fukui Castle,castle_historic,Nothing to see.,ce3b83cb8d88
itinerary_fit_time_cost,Fukui,Fukui Castle,castle_historic,"A stone wall where a castle once stood, nothing more.",ce3b83cb8d88
accessibility_mobility,Fukui,Eiheiji Temple,temple_shrine,"The complex is incredible — dozens of buildings connected by covered wooden corridors and steep stairs, all worn smooth by centuries of feet.",1ac5aa534744
accessibility_mobility,Fukui,Maruoka Castle,castle_historic,"Intense Steep Stairs: The stairs inside the castle tower are extremely steep at 65 degrees from the 1st to 2nd floors and 67 degrees from the 2nd to 3rd floors, making it thrilling to climb using a rope.",d5ee00121c3a
accessibility_mobility,Fukui,Maruoka Castle,castle_historic,"Be advised, I've been to about 50 castles in Japan, and so far the stairs at Maruoka are the steepest that I have ever encountered.",d97e7e462eb7
food_amenities_gap,Fukui,Echizen Daibutsu,temple_shrine,It's such a shame that many shops in the area have closed down because the temple itself is stunning and magnificent.,8bee0146e4a8
